IDMessage;Battery;Value;Delta;Origin
0;B1;2.49;0.00;2.490
0;B2;2.69;0.00;2.690
0;B3;2.64;0.00;2.640
0;B4;2.64;0.00;2.640
0;B5;2.68;0.00;2.680
watts;;  85.10;;
amps;; 0.00;;
0;B0;2.58;0.00;2.580
0;B1;2.45;0.00;2.450
0;B2;2.65;0.00;2.650
0;B3;2.62;0.00;2.620
0;B4;2.61;0.00;2.610
0;B5;2.65;0.00;2.650
watts;;  86.74;;
amps;; 0.00;;
0;B0;2.68;0.00;2.680
0;B1;2.60;0.00;2.600
0;B2;2.77;0.00;2.770
0;B3;2.71;0.00;2.710
0;B4;2.72;0.00;2.720
0;B5;2.75;0.00;2.750
watts;;  86.70;;
amps;; 0.00;;
0;B0;2.73;0.00;2.730
0;B1;2.66;0.00;2.660
0;B2;2.80;0.00;2.800
0;B3;2.75;0.00;2.750
0;B4;2.77;0.00;2.770
0;B5;2.79;0.00;2.790
watts;;  86.74;;
amps;; 0.00;;
0;B0;2.72;0.00;2.720
0;B1;2.65;0.00;2.650
0;B2;2.80;0.00;2.800
0;B3;2.75;0.00;2.750
0;B4;2.77;0.00;2.770
0;B5;2.78;0.00;2.780
watts;;  86.74;;
amps;; 0.00;;
0;B0;2.78;0.00;2.780
0;B1;2.72;0.00;2.720
0;B2;2.86;0.00;2.860
0;B3;2.80;0.00;2.800
0;B4;2.82;0.00;2.820
0;B5;2.83;0.00;2.830
watts;;  86.74;;
amps;; 0.00;;
0;B0;2.80;0.00;2.800
0;B1;2.76;0.00;2.760
0;B2;2.86;0.00;2.860
0;B3;2.82;0.00;2.820
0;B4;2.85;0.00;2.850
0;B5;2.85;0.00;2.850
watts;;  86.74;;
amps;; 0.00;;
0;B0;2.82;0.00;2.820
0;B1;2.78;0.00;2.780
0;B2;2.87;0.00;2.870
0;B3;2.83;0.00;2.830
0;B4;2.86;0.00;2.860
0;B5;2.86;0.00;2.860
watts;;  86.74;;
amps;; 0.00;;
0;B0;1.58;0.00;1.580
0;B1;1.12;0.00;1.120
0;B2;1.79;0.00;1.790
0;B3;1.78;0.00;1.780
0;B4;1.68;0.00;1.680
0;B5;1.80;0.00;1.800
watts;;  87.69;;
amps;;21.09;;
0;B0;2.62;0.00;2.620
0;B1;2.52;0.00;2.520
0;B2;2.72;0.00;2.720
0;B3;2.67;0.00;2.670
